Instance name,T,max time,# days,# customers,# operations,Opt. no waiting,Opt. waiting,Problem type,Algorithm,# cons,# var,Root time (sec.),Total time (sec.),SEC r_time (sec.),SEC time (sec.),PEC r_time (sec.),PEC time (sec.),# BB r_iterations,# BC iterations,# BC nodes,# SEC r_cuts,# SEC cuts,# PEC r_cuts,# PEC cuts,Root LB,Root UB,Best Bound,Best Integer,Status
br17_p5_f70_lM,5,42,5,16,61,190,190,CTSP_2,COMPACT-CONN,972,746,0.00,0.02,0.00,0.00,0.00,0.00,0,419,0,52,52,0,0,0.0,0,190.00,190,2
br17_p5_f90_lH,7,42,5,16,71,195,195,CTSP_2,COMPACT-CONN,1296,1006,0.00,0.04,0.00,0.00,0.00,0.00,0,532,0,61,61,0,0,0.0,0,195.00,195,2
br17_p5_f90_lL,3,42,5,16,71,195,195,CTSP_2,COMPACT-CONN,1296,1006,0.00,0.04,0.00,0.00,0.00,0.00,0,581,0,57,57,0,0,0.0,0,195.00,195,2
br17_p5_f90_lM,5,42,5,16,71,195,195,CTSP_2,COMPACT-CONN,1296,1006,0.00,0.03,0.00,0.00,0.00,0.00,0,496,0,54,54,0,0,0.0,0,195.00,195,2
gr17_p3_f50_lH,359,1970,3,16,27,5186,5186,CTSP_2,COMPACT-CONN,298,242,0.00,0.01,0.00,0.00,0.00,0.00,0,167,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f50_lL,179,1970,3,16,27,5186,5186,CTSP_2,COMPACT-CONN,298,242,0.00,0.00,0.00,0.00,0.00,0.00,0,164,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f50_lM,269,1970,3,16,27,5186,5186,CTSP_2,COMPACT-CONN,298,242,0.00,0.00,0.00,0.00,0.00,0.00,0,164,0,13,13,0,0,0.0,0,5186.00,5186,2
gr17_p3_f70_lH,387,2068,3,16,37,5563,5534,CTSP_2,COMPACT-CONN,546,456,0.07,1.88,0.00,0.19,0.00,0.00,250,58921,4912,11,108,0,0,5499.0,5586,5534.00,5534,2
gr17_p3_f70_lL,193,2068,3,16,37,5621,5588,CTSP_2,COMPACT-CONN,546,456,0.06,8.09,0.00,0.80,0.00,0.00,264,263090,22305,11,182,0,0,5499.0,5588,5588.00,5588,2
gr17_p3_f70_lM,290,2068,3,16,37,5588,5534,CTSP_2,COMPACT-CONN,546,456,0.04,1.99,0.00,0.26,0.00,0.00,246,60947,5829,11,94,0,0,5499.0,5586,5534.00,5534,2
gr17_p3_f90_lH,416,2242,3,16,44,6009,6009,CTSP_2,COMPACT-CONN,762,647,0.04,0.11,0.00,0.00,0.00,0.00,320,1705,79,20,38,0,0,5975.0,6009,6009.00,6009,2
gr17_p3_f90_lL,208,2242,3,16,44,6009,6009,CTSP_2,COMPACT-CONN,762,647,0.04,0.13,0.00,0.01,0.00,0.00,331,1516,67,18,37,0,0,5975.0,6009,6009.00,6009,2
gr17_p3_f90_lM,312,2242,3,16,44,6009,6009,CTSP_2,COMPACT-CONN,762,647,0.04,0.14,0.00,0.01,0.00,0.00,320,2123,101,20,41,0,0,5975.0,6009,6009.00,6009,2
gr17_p5_f50_lH,359,1977,5,16,44,8456,8448,CTSP_2,COMPACT-CONN,512,385,0.03,0.05,0.00,0.00,0.00,0.00,273,443,16,21,21,0,0,8444.0,8448,8448.00,8448,2
gr17_p5_f50_lL,179,1977,5,16,44,8456,8456,CTSP_2,COMPACT-CONN,512,385,0.03,0.05,0.00,0.00,0.00,0.00,250,1016,36,21,30,0,0,8444.0,8456,8456.00,8456,2
gr17_p5_f50_lM,269,1977,5,16,44,8456,8452,CTSP_2,COMPACT-CONN,512,385,0.02,0.05,0.00,0.00,0.00,0.00,214,713,37,21,26,0,0,8444.0,8452,8452.00,8452,2
gr17_p5_f70_lH,387,2129,5,16,61,9236,9232,CTSP_2,COMPACT-CONN,966,744,0.06,16.20,0.00,1.87,0.00,0.00,403,456614,28199,21,235,0,0,9144.0,9232,9232.00,9232,2
gr17_p5_f70_lL,193,2129,5,16,61,9343,9238,CTSP_2,COMPACT-CONN,966,744,0.06,6.09,0.00,0.61,0.00,0.00,387,178798,10345,21,145,0,0,9144.0,9238,9238.00,9238,2
gr17_p5_f70_lM,290,2129,5,16,61,9238,9234,CTSP_2,COMPACT-CONN,966,744,0.06,15.47,0.00,1.66,0.00,0.00,405,450418,26188,21,215,0,0,9144.0,9234,9234.00,9234,2
gr17_p5_f90_lH,416,2290,5,16,75,10027,10027,CTSP_2,COMPACT-CONN,1452,1126,0.13,3.88,0.00,0.27,0.00,0.00,532,83896,3247,37,152,0,0,9962.0,10027,10026.00,10027,2
gr17_p5_f90_lL,208,2290,5,16,75,10027,10027,CTSP_2,COMPACT-CONN,1452,1126,0.20,2.13,0.00,0.12,0.00,0.00,622,39867,1522,37,134,0,0,9962.0,10027,10026.00,10027,2
gr17_p5_f90_lM,312,2290,5,16,75,10027,10027,CTSP_2,COMPACT-CONN,1452,1126,0.09,1.57,0.00,0.08,0.00,0.00,547,27283,1115,37,123,0,0,9962.0,10027,10026.00,10027,2
gr21_p3_f50_lH,491,2701,3,20,35,6859,6859,CTSP_2,COMPACT-CONN,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,107,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f50_lL,245,2701,3,20,35,6988,6859,CTSP_2,COMPACT-CONN,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,105,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f50_lM,368,2701,3,20,35,6861,6859,CTSP_2,COMPACT-CONN,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,102,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f70_lH,489,2690,3,20,41,7192,7192,CTSP_2,COMPACT-CONN,650,560,0.07,0.07,0.00,0.00,0.00,0.00,186,507,12,8,30,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f70_lL,244,2690,3,20,41,7192,7192,CTSP_2,COMPACT-CONN,650,560,0.06,0.07,0.00,0.00,0.00,0.00,178,402,13,8,18,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f70_lM,366,2690,3,20,41,7192,7192,CTSP_2,COMPACT-CONN,650,560,0.05,0.07,0.00,0.00,0.00,0.00,179,442,13,8,18,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f90_lH,546,3004,3,20,56,7993,7993,CTSP_2,COMPACT-CONN,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,232,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p3_f90_lL,273,3004,3,20,56,7993,7993,CTSP_2,COMPACT-CONN,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,229,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p3_f90_lM,409,3004,3,20,56,7993,7993,CTSP_2,COMPACT-CONN,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,233,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p5_f50_lH,491,2701,5,20,59,11587,11587,CTSP_2,COMPACT-CONN,874,694,0.04,0.04,0.00,0.00,0.00,0.00,230,629,14,17,24,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f50_lL,245,2701,5,20,59,11745,11587,CTSP_2,COMPACT-CONN,874,694,0.08,0.08,0.00,0.00,0.00,0.00,234,365,6,17,25,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f50_lM,368,2701,5,20,59,11589,11587,CTSP_2,COMPACT-CONN,874,694,0.06,0.08,0.00,0.00,0.00,0.00,232,392,5,17,20,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f70_lH,489,2690,5,20,71,11791,11791,CTSP_2,COMPACT-CONN,1260,1010,0.06,0.13,0.00,0.00,0.00,0.00,355,1297,21,10,18,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f70_lL,244,2690,5,20,71,11832,11791,CTSP_2,COMPACT-CONN,1260,1010,0.08,0.17,0.00,0.00,0.00,0.00,371,868,12,10,13,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f70_lM,366,2690,5,20,71,11791,11791,CTSP_2,COMPACT-CONN,1260,1010,0.11,0.25,0.00,0.00,0.00,0.00,359,818,11,10,11,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f90_lH,546,3004,5,20,93,13238,13238,CTSP_2,COMPACT-CONN,2142,1732,0.00,0.08,0.00,0.00,0.00,0.00,0,419,0,64,64,0,0,0.0,0,13238.00,13238,2
gr21_p5_f90_lL,273,3004,5,20,93,13245,13238,CTSP_2,COMPACT-CONN,2142,1732,0.00,0.08,0.00,0.00,0.00,0.00,0,413,0,64,64,0,0,0.0,0,13238.00,13238,2
gr21_p5_f90_lM,409,3004,5,20,93,13238,13238,CTSP_2,COMPACT-CONN,2142,1732,0.00,0.08,0.00,0.00,0.00,0.00,0,420,0,64,64,0,0,0.0,0,13238.00,13238,2
ulysses22_p3_f50_lH,1239,6792,3,21,35,18453,18453,CTSP_2,COMPACT-CONN,480,408,0.00,0.01,0.00,0.00,0.00,0.00,0,221,0,16,16,0,0,0.0,0,18453.00,18453,2
ulysses22_p3_f50_lL,619,6792,3,21,35,18453,18453,CTSP_2,COMPACT-CONN,480,408,0.00,0.01,0.00,0.00,0.00,0.00,0,220,0,16,16,0,0,0.0,0,18453.00,18453,2
ulysses22_p3_f50_lM,929,6792,3,21,35,18453,18453,CTSP_2,COMPACT-CONN,480,408,0.00,0.01,0.00,0.00,0.00,0.00,0,222,0,16,16,0,0,0.0,0,18453.00,18453,2
ulysses22_p3_f70_lH,1330,7068,3,21,44,19213,19213,CTSP_2,COMPACT-CONN,750,647,0.00,0.02,0.00,0.00,0.00,0.00,0,229,0,11,11,0,0,0.0,0,19213.00,19213,2
ulysses22_p3_f70_lL,665,7068,3,21,44,19213,19213,CTSP_2,COMPACT-CONN,750,647,0.04,0.04,0.00,0.00,0.00,0.00,233,265,3,11,11,0,0,19201.5,19213,19213.00,19213,2
ulysses22_p3_f70_lM,997,7068,3,21,44,19213,19213,CTSP_2,COMPACT-CONN,750,647,0.04,0.04,0.00,0.00,0.00,0.00,221,221,1,11,11,0,0,19201.5,19213,19213.00,19213,2
ulysses22_p3_f90_lH,1393,7662,3,21,57,20718,20718,CTSP_2,COMPACT-CONN,1236,1084,0.11,0.43,0.00,0.01,0.00,0.00,417,2945,106,31,50,0,0,20657.0,20718,20716.49,20718,2
ulysses22_p3_f90_lL,696,7662,3,21,57,20718,20718,CTSP_2,COMPACT-CONN,1236,1084,0.10,0.39,0.00,0.02,0.00,0.00,441,3645,176,31,52,0,0,20657.0,20718,20716.07,20718,2
ulysses22_p3_f90_lM,1044,7662,3,21,57,20718,20718,CTSP_2,COMPACT-CONN,1236,1084,0.11,0.43,0.00,0.01,0.00,0.00,433,3742,140,31,60,0,0,20657.0,20718,20718.00,20718,2
ulysses22_p5_f50_lH,1239,6818,5,21,56,30433,30433,CTSP_2,COMPACT-CONN,786,627,0.04,0.07,0.00,0.00,0.00,0.00,376,567,9,22,24,0,0,30412.0,30433,30433.00,30433,2
ulysses22_p5_f50_lL,619,6818,5,21,56,30433,30433,CTSP_2,COMPACT-CONN,786,627,0.04,0.06,0.00,0.00,0.00,0.00,357,470,5,22,23,0,0,30412.0,30433,30433.00,30433,2
ulysses22_p5_f50_lM,929,6818,5,21,56,30433,30433,CTSP_2,COMPACT-CONN,786,627,0.00,0.04,0.00,0.00,0.00,0.00,0,323,0,22,22,0,0,0.0,0,30433.00,30433,2
ulysses22_p5_f70_lH,1330,7317,5,21,75,32405,32405,CTSP_2,COMPACT-CONN,1398,1130,0.00,0.05,0.00,0.00,0.00,0.00,0,496,0,26,26,0,0,0.0,0,32405.00,32405,2
ulysses22_p5_f70_lL,665,7317,5,21,75,32405,32405,CTSP_2,COMPACT-CONN,1398,1130,0.00,0.03,0.00,0.00,0.00,0.00,0,444,0,26,26,0,0,0.0,0,32405.00,32405,2
ulysses22_p5_f70_lM,997,7317,5,21,75,32405,32405,CTSP_2,COMPACT-CONN,1398,1130,0.00,0.03,0.00,0.00,0.00,0.00,0,448,0,26,26,0,0,0.0,0,32405.00,32405,2
ulysses22_p5_f90_lH,1393,7662,5,21,96,33904,33904,CTSP_2,COMPACT-CONN,2260,1847,0.41,2.57,0.00,0.11,0.00,0.00,698,22019,637,55,134,0,0,33826.0,33904,33900.76,33904,2
ulysses22_p5_f90_lL,696,7662,5,21,96,33930,33904,CTSP_2,COMPACT-CONN,2260,1847,0.24,1.70,0.00,0.06,0.00,0.00,735,11163,272,53,80,0,0,33826.0,33904,33900.83,33904,2
ulysses22_p5_f90_lM,1044,7662,5,21,96,33904,33904,CTSP_2,COMPACT-CONN,2260,1847,0.31,1.76,0.00,0.03,0.00,0.00,664,11427,234,52,84,0,0,33826.0,33904,33900.70,33904,2
gr24_p3_f50_lH,215,1182,3,23,38,3086,3066,CTSP_2,COMPACT-CONN,550,481,0.03,0.05,0.00,0.00,0.00,0.00,255,519,25,16,20,0,0,3059.0,3066,3066.00,3066,2
gr24_p3_f50_lL,107,1182,3,23,38,3097,3086,CTSP_2,COMPACT-CONN,550,481,0.04,0.20,0.00,0.02,0.00,0.00,250,5048,448,16,45,0,0,3059.0,3086,3086.00,3086,2
gr24_p3_f50_lM,161,1182,3,23,38,3086,3066,CTSP_2,COMPACT-CONN,550,481,0.03,0.06,0.00,0.00,0.00,0.00,260,660,32,16,22,0,0,3059.0,3066,3066.00,3066,2
gr24_p3_f70_lH,219,1207,3,23,52,3211,3207,CTSP_2,COMPACT-CONN,1024,901,0.00,0.04,0.00,0.00,0.00,0.00,0,322,0,27,27,0,0,0.0,0,3207.00,3207,2
gr24_p3_f70_lL,109,1207,3,23,52,3284,3216,CTSP_2,COMPACT-CONN,1024,901,0.12,0.15,0.00,0.00,0.00,0.00,388,444,4,26,27,0,0,3207.0,3216,3216.00,3216,2
gr24_p3_f70_lM,164,1207,3,23,52,3216,3211,CTSP_2,COMPACT-CONN,1024,901,0.10,0.14,0.00,0.00,0.00,0.00,337,473,7,27,27,0,0,3207.0,3211,3211.00,3211,2
gr24_p3_f90_lH,247,1358,3,23,61,3572,3568,CTSP_2,COMPACT-CONN,1398,1240,0.00,0.05,0.00,0.00,0.00,0.00,0,390,0,31,31,0,0,0.0,0,3568.00,3568,2
gr24_p3_f90_lL,123,1358,3,23,61,3602,3585,CTSP_2,COMPACT-CONN,1398,1240,0.14,0.44,0.00,0.02,0.00,0.00,425,6194,391,32,66,0,0,3568.0,3585,3585.00,3585,2
gr24_p3_f90_lM,185,1358,3,23,61,3589,3572,CTSP_2,COMPACT-CONN,1398,1240,0.09,0.14,0.00,0.00,0.00,0.00,395,1103,16,31,38,0,0,3568.0,3572,3572.00,3572,2
gr24_p5_f50_lH,215,1182,5,23,64,5026,5006,CTSP_2,COMPACT-CONN,998,817,0.07,0.17,0.00,0.00,0.00,0.00,361,1523,54,21,39,0,0,4997.0,5006,5006.00,5006,2
gr24_p5_f50_lL,107,1182,5,23,64,5064,5026,CTSP_2,COMPACT-CONN,998,817,0.06,0.45,0.00,0.03,0.00,0.00,327,8251,408,21,61,0,0,4997.0,5026,5026.00,5026,2
gr24_p5_f50_lM,161,1182,5,23,64,5026,5006,CTSP_2,COMPACT-CONN,998,817,0.06,0.17,0.00,0.00,0.00,0.00,338,933,46,21,26,0,0,4997.0,5006,5006.00,5006,2
gr24_p5_f70_lH,219,1208,5,23,85,5409,5400,CTSP_2,COMPACT-CONN,1754,1444,0.00,0.14,0.00,0.00,0.00,0.00,0,548,0,38,38,0,0,0.0,0,5400.00,5400,2
gr24_p5_f70_lL,109,1208,5,23,85,5508,5477,CTSP_2,COMPACT-CONN,1754,1444,0.19,40.12,0.00,3.04,0.00,0.00,544,850074,35338,38,357,0,0,5400.0,5477,5477.00,5477,2
gr24_p5_f70_lM,164,1208,5,23,85,5477,5409,CTSP_2,COMPACT-CONN,1754,1444,0.21,0.35,0.00,0.00,0.00,0.00,537,1952,29,38,59,0,0,5400.0,5409,5409.00,5409,2
gr24_p5_f90_lH,247,1358,5,23,101,5873,5873,CTSP_2,COMPACT-CONN,2458,2038,0.31,0.85,0.00,0.00,0.00,0.00,626,1988,28,44,55,0,0,5869.0,5873,5873.00,5873,2
gr24_p5_f90_lL,123,1358,5,23,101,5973,5964,CTSP_2,COMPACT-CONN,2458,2038,0.31,3458.37,0.00,219.64,0.00,0.00,737,49749514,1444996,45,1506,0,0,5869.0,5964,5964.00,5964,2
gr24_p5_f90_lM,185,1358,5,23,101,5943,5903,CTSP_2,COMPACT-CONN,2458,2038,0.26,2.12,0.00,0.18,0.00,0.00,755,23349,1591,43,108,0,0,5869.0,5903,5903.00,5903,2
